whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count
8893,375,-1,4,45,0,0,0,0,3,0,0,0
-1,-1,118,3,28,1,0,0,0,2,0,0,0
-1,-1,-1,3,30,0,0,1,0,2,0,0,0
8617,147,221,2,36,1,0,0,0,3,0,0,0
-1,-1,-1,3,29,0,0,0,0,2,0,0,0
9007,1583,221,2,21,1,0,0,0,2,0,0,0
9528,333,31,2,21,0,0,0,0,2,0,0,0
7899,877,199,4,36,1,0,0,0,2,0,0,0
7898,1302,20,3,18,0,0,0,0,2,0,0,0
-1,-1,-1,2,24,0,0,0,0,3,0,0,0
8443,1418,467,3,27,0,0,1,0,1,0,0,0
10142,83,107,2,29,0,0,0,0,3,0,0,0
7302,367,12,3,39,1,0,1,0,1,0,0,0
-1,-1,-1,3,26,0,0,0,0,2,0,0,0
6398,175,21,3,48,0,0,0,0,2,0,0,0
8392,373,3,2,21,0,0,0,0,2,0,0,0
8848,2107,974,3,35,2,0,0,0,2,0,0,0
-1,-1,-1,3,39,3,0,0,0,3,0,0,0
-1,-1,-1,5,50,8,0,3,0,4,0,0,0
8813,316,78,3,78,0,4,0,0,3,0,0,0
7884,3042,244,5,51,5,0,1,0,4,0,0,0
-1,-1,-1,4,63,0,0,0,0,5,0,0,0
-1,-1,-1,4,39,6,0,0,0,3,0,0,0
9983,244,71,2,37,0,0,0,0,3,0,0,0
9600,303,12,2,38,0,0,0,0,1,0,0,0
10066,159,209,2,32,0,0,0,0,1,0,0,0
9504,357,36,3,23,0,0,0,0,1,0,0,0
7274,1126,332,2,27,0,0,0,0,3,0,0,0
4774,338,56,2,28,0,0,0,0,1,0,0,0
4774,338,56,2,28,0,0,0,0,1,0,0,0
4774,338,56,2,33,0,0,0,0,1,0,0,0
4774,338,56,2,31,0,0,0,0,1,0,0,0
8617,147,221,2,32,0,0,0,0,3,0,0,0
-1,-1,-1,2,22,0,0,0,0,2,0,0,0
-1,-1,-1,4,42,5,2,0,0,2,0,0,0
8617,147,221,2,35,1,0,0,0,3,0,0,0
9559,302,80,3,25,0,0,0,0,2,0,0,0
8617,147,221,2,41,1,0,0,0,3,0,0,0
9047,82,294,3,34,0,0,1,0,2,0,0,0
8794,335,33,2,32,0,0,0,0,1,0,0,0
9920,307,55,2,44,0,0,0,0,4,0,0,0
9920,307,55,2,42,0,0,0,0,4,0,0,0
9983,244,71,3,41,0,0,0,0,3,0,0,0
8617,147,221,3,49,0,0,0,0,3,0,0,0
-1,-1,-1,3,31,0,0,0,0,3,0,0,0
9249,-1,280,3,27,0,0,0,0,2,0,0,0
8644,1581,303,2,26,0,0,0,0,2,0,0,0
